model_pair,size,sum
"[""claude-opus-4-20250514"", ""claude-sonnet-4-20250514-thinking-32k""]",77,41
"[""claude-opus-4-20250514"", ""command-a-03-2025""]",199,106
"[""claude-opus-4-20250514"", ""deepseek-r1-0528""]",162,52
"[""claude-opus-4-20250514"", ""deepseek-v3-0324""]",178,81
"[""claude-opus-4-20250514"", ""gemini-2.0-flash-001""]",126,63
"[""claude-opus-4-20250514"", ""gemini-2.5-flash""]",267,96
"[""claude-opus-4-20250514"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",83,37
"[""claude-opus-4-20250514"", ""gemini-2.5-flash-preview-04-17""]",125,50
"[""claude-opus-4-20250514"", ""gemini-2.5-pro""]",227,49
"[""claude-opus-4-20250514"", ""gemini-2.5-pro-preview-05-06""]",139,40
"[""claude-opus-4-20250514"", ""gemma-3-27b-it""]",182,86
"[""claude-opus-4-20250514"", ""gemma-3n-e4b-it""]",54,24
"[""claude-opus-4-20250514"", ""gpt-4.1-2025-04-14""]",154,64
"[""claude-opus-4-20250514"", ""gpt-4.1-mini-2025-04-14""]",145,85
"[""claude-opus-4-20250514"", ""grok-3-mini-beta""]",171,84
"[""claude-opus-4-20250514"", ""grok-3-mini-high""]",36,17
"[""claude-opus-4-20250514"", ""grok-3-preview-02-24""]",159,59
"[""claude-opus-4-20250514"", ""grok-4-0709""]",18,5
"[""claude-opus-4-20250514"", ""hunyuan-turbos-20250416""]",40,20
"[""claude-opus-4-20250514"", ""kimi-k2-0711-preview""]",41,22
"[""claude-opus-4-20250514"", ""llama-3.3-70b-instruct""]",124,83
"[""claude-opus-4-20250514"", ""llama-4-maverick-03-26-experimental""]",182,74
"[""claude-opus-4-20250514"", ""llama-4-maverick-17b-128e-instruct""]",100,58
"[""claude-opus-4-20250514"", ""llama-4-scout-17b-16e-instruct""]",50,28
"[""claude-opus-4-20250514"", ""magistral-medium-2506""]",39,29
"[""claude-opus-4-20250514"", ""minimax-m1""]",90,35
"[""claude-opus-4-20250514"", ""mistral-medium-2505""]",212,99
"[""claude-opus-4-20250514"", ""mistral-small-2506""]",30,14
"[""claude-opus-4-20250514"", ""mistral-small-3.1-24b-instruct-2503""]",49,31
"[""claude-opus-4-20250514"", ""o3-2025-04-16""]",186,64
"[""claude-opus-4-20250514"", ""o3-mini""]",161,95
"[""claude-opus-4-20250514"", ""o4-mini-2025-04-16""]",165,70
"[""claude-opus-4-20250514"", ""qwen-max-2025-01-25""]",106,49
"[""claude-opus-4-20250514"", ""qwen3-235b-a22b""]",125,44
"[""claude-opus-4-20250514"", ""qwen3-235b-a22b-instruct-2507""]",7,2
"[""claude-opus-4-20250514"", ""qwen3-235b-a22b-no-thinking""]",230,94
"[""claude-opus-4-20250514"", ""qwen3-30b-a3b""]",150,83
"[""claude-opus-4-20250514"", ""qwq-32b""]",105,53
"[""claude-opus-4-20250514-thinking-16k"", ""claude-sonnet-4-20250514""]",85,52
"[""claude-opus-4-20250514-thinking-16k"", ""claude-sonnet-4-20250514-thinking-32k""]",98,60
"[""claude-opus-4-20250514-thinking-16k"", ""command-a-03-2025""]",87,52
"[""claude-opus-4-20250514-thinking-16k"", ""deepseek-r1-0528""]",89,29
"[""claude-opus-4-20250514-thinking-16k"", ""deepseek-v3-0324""]",80,37
"[""claude-opus-4-20250514-thinking-16k"", ""gemini-2.0-flash-001""]",58,25
"[""claude-opus-4-20250514-thinking-16k"", ""gemini-2.5-flash""]",114,44
"[""claude-opus-4-20250514-thinking-16k"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",115,51
"[""claude-opus-4-20250514-thinking-16k"", ""gemini-2.5-flash-preview-04-17""]",50,25
"[""claude-opus-4-20250514-thinking-16k"", ""gemini-2.5-pro""]",130,34
"[""claude-opus-4-20250514-thinking-16k"", ""gemini-2.5-pro-preview-05-06""]",47,21
"[""claude-opus-4-20250514-thinking-16k"", ""gemma-3-27b-it""]",92,35
"[""claude-opus-4-20250514-thinking-16k"", ""gemma-3n-e4b-it""]",60,39
"[""claude-opus-4-20250514-thinking-16k"", ""gpt-4.1-2025-04-14""]",93,39
"[""claude-opus-4-20250514-thinking-16k"", ""gpt-4.1-mini-2025-04-14""]",77,42
"[""claude-opus-4-20250514-thinking-16k"", ""grok-3-mini-beta""]",70,37
"[""claude-opus-4-20250514-thinking-16k"", ""grok-3-mini-high""]",38,16
"[""claude-opus-4-20250514-thinking-16k"", ""grok-3-preview-02-24""]",86,31
"[""claude-opus-4-20250514-thinking-16k"", ""grok-4-0709""]",22,5
"[""claude-opus-4-20250514-thinking-16k"", ""hunyuan-turbos-20250416""]",54,28
"[""claude-opus-4-20250514-thinking-16k"", ""kimi-k2-0711-preview""]",32,13
"[""claude-opus-4-20250514-thinking-16k"", ""llama-3.3-70b-instruct""]",56,28
"[""claude-opus-4-20250514-thinking-16k"", ""llama-4-maverick-03-26-experimental""]",97,35
"[""claude-opus-4-20250514-thinking-16k"", ""llama-4-maverick-17b-128e-instruct""]",62,39
"[""claude-opus-4-20250514-thinking-16k"", ""llama-4-scout-17b-16e-instruct""]",63,40
"[""claude-opus-4-20250514-thinking-16k"", ""magistral-medium-2506""]",53,34
"[""claude-opus-4-20250514-thinking-16k"", ""minimax-m1""]",100,47
"[""claude-opus-4-20250514-thinking-16k"", ""mistral-medium-2505""]",133,60
"[""claude-opus-4-20250514-thinking-16k"", ""mistral-small-2506""]",24,14
"[""claude-opus-4-20250514-thinking-16k"", ""mistral-small-3.1-24b-instruct-2503""]",72,50
"[""claude-opus-4-20250514-thinking-16k"", ""o3-2025-04-16""]",129,38
"[""claude-opus-4-20250514-thinking-16k"", ""o3-mini""]",88,56
"[""claude-opus-4-20250514-thinking-16k"", ""o4-mini-2025-04-16""]",91,45
"[""claude-opus-4-20250514-thinking-16k"", ""qwen-max-2025-01-25""]",57,25
"[""claude-opus-4-20250514-thinking-16k"", ""qwen3-235b-a22b""]",79,33
"[""claude-opus-4-20250514-thinking-16k"", ""qwen3-235b-a22b-instruct-2507""]",13,7
"[""claude-opus-4-20250514-thinking-16k"", ""qwen3-235b-a22b-no-thinking""]",156,61
"[""claude-opus-4-20250514-thinking-16k"", ""qwen3-30b-a3b""]",79,39
"[""claude-opus-4-20250514-thinking-16k"", ""qwq-32b""]",61,32
"[""claude-sonnet-4-20250514"", ""claude-sonnet-4-20250514-thinking-32k""]",65,35
"[""claude-sonnet-4-20250514"", ""command-a-03-2025""]",156,68
"[""claude-sonnet-4-20250514"", ""deepseek-r1-0528""]",127,39
"[""claude-sonnet-4-20250514"", ""deepseek-v3-0324""]",123,37
"[""claude-sonnet-4-20250514"", ""gemini-2.0-flash-001""]",92,43
"[""claude-sonnet-4-20250514"", ""gemini-2.5-flash""]",223,58
"[""claude-sonnet-4-20250514"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",95,38
"[""claude-sonnet-4-20250514"", ""gemini-2.5-flash-preview-04-17""]",118,52
"[""claude-sonnet-4-20250514"", ""gemini-2.5-pro""]",183,39
"[""claude-sonnet-4-20250514"", ""gemini-2.5-pro-preview-05-06""]",96,32
"[""claude-sonnet-4-20250514"", ""gemma-3-27b-it""]",143,59
"[""claude-sonnet-4-20250514"", ""gemma-3n-e4b-it""]",46,23
"[""claude-sonnet-4-20250514"", ""gpt-4.1-2025-04-14""]",130,48
"[""claude-sonnet-4-20250514"", ""gpt-4.1-mini-2025-04-14""]",126,58
"[""claude-sonnet-4-20250514"", ""grok-3-mini-beta""]",108,39
"[""claude-sonnet-4-20250514"", ""grok-3-mini-high""]",43,14
"[""claude-sonnet-4-20250514"", ""grok-3-preview-02-24""]",115,39
"[""claude-sonnet-4-20250514"", ""grok-4-0709""]",22,5
"[""claude-sonnet-4-20250514"", ""hunyuan-turbos-20250416""]",30,13
"[""claude-sonnet-4-20250514"", ""kimi-k2-0711-preview""]",32,11
"[""claude-sonnet-4-20250514"", ""llama-3.3-70b-instruct""]",106,67
"[""claude-sonnet-4-20250514"", ""llama-4-maverick-03-26-experimental""]",155,45
"[""claude-sonnet-4-20250514"", ""llama-4-maverick-17b-128e-instruct""]",86,51
"[""claude-sonnet-4-20250514"", ""llama-4-scout-17b-16e-instruct""]",42,27
"[""claude-sonnet-4-20250514"", ""magistral-medium-2506""]",34,21
"[""claude-sonnet-4-20250514"", ""minimax-m1""]",65,24
"[""claude-sonnet-4-20250514"", ""mistral-medium-2505""]",198,76
"[""claude-sonnet-4-20250514"", ""mistral-small-2506""]",44,18
"[""claude-sonnet-4-20250514"", ""mistral-small-3.1-24b-instruct-2503""]",45,30
"[""claude-sonnet-4-20250514"", ""o3-2025-04-16""]",157,41
"[""claude-sonnet-4-20250514"", ""o3-mini""]",127,61
"[""claude-sonnet-4-20250514"", ""o4-mini-2025-04-16""]",110,47
"[""claude-sonnet-4-20250514"", ""qwen-max-2025-01-25""]",90,41
"[""claude-sonnet-4-20250514"", ""qwen3-235b-a22b""]",105,40
"[""claude-sonnet-4-20250514"", ""qwen3-235b-a22b-instruct-2507""]",7,3
"[""claude-sonnet-4-20250514"", ""qwen3-235b-a22b-no-thinking""]",200,71
"[""claude-sonnet-4-20250514"", ""qwen3-30b-a3b""]",121,59
"[""claude-sonnet-4-20250514"", ""qwq-32b""]",70,28
"[""claude-sonnet-4-20250514-thinking-32k"", ""command-a-03-2025""]",78,40
"[""claude-sonnet-4-20250514-thinking-32k"", ""deepseek-r1-0528""]",96,33
"[""claude-sonnet-4-20250514-thinking-32k"", ""deepseek-v3-0324""]",60,16
"[""claude-sonnet-4-20250514-thinking-32k"", ""gemini-2.0-flash-001""]",55,22
"[""claude-sonnet-4-20250514-thinking-32k"", ""gemini-2.5-flash""]",107,31
"[""claude-sonnet-4-20250514-thinking-32k"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",90,41
"[""claude-sonnet-4-20250514-thinking-32k"", ""gemini-2.5-flash-preview-04-17""]",62,23
"[""claude-sonnet-4-20250514-thinking-32k"", ""gemini-2.5-pro""]",153,41
"[""claude-sonnet-4-20250514-thinking-32k"", ""gemini-2.5-pro-preview-05-06""]",49,17
"[""claude-sonnet-4-20250514-thinking-32k"", ""gemma-3-27b-it""]",89,38
"[""claude-sonnet-4-20250514-thinking-32k"", ""gemma-3n-e4b-it""]",54,26
"[""claude-sonnet-4-20250514-thinking-32k"", ""gpt-4.1-2025-04-14""]",50,18
"[""claude-sonnet-4-20250514-thinking-32k"", ""gpt-4.1-mini-2025-04-14""]",75,36
"[""claude-sonnet-4-20250514-thinking-32k"", ""grok-3-mini-beta""]",78,32
"[""claude-sonnet-4-20250514-thinking-32k"", ""grok-3-mini-high""]",46,26
"[""claude-sonnet-4-20250514-thinking-32k"", ""grok-3-preview-02-24""]",60,18
"[""claude-sonnet-4-20250514-thinking-32k"", ""grok-4-0709""]",21,9
"[""claude-sonnet-4-20250514-thinking-32k"", ""hunyuan-turbos-20250416""]",54,15
"[""claude-sonnet-4-20250514-thinking-32k"", ""kimi-k2-0711-preview""]",44,16
"[""claude-sonnet-4-20250514-thinking-32k"", ""llama-3.3-70b-instruct""]",45,30
"[""claude-sonnet-4-20250514-thinking-32k"", ""llama-4-maverick-03-26-experimental""]",77,19
"[""claude-sonnet-4-20250514-thinking-32k"", ""llama-4-maverick-17b-128e-instruct""]",65,42
"[""claude-sonnet-4-20250514-thinking-32k"", ""llama-4-scout-17b-16e-instruct""]",48,23
"[""claude-sonnet-4-20250514-thinking-32k"", ""magistral-medium-2506""]",37,25
"[""claude-sonnet-4-20250514-thinking-32k"", ""minimax-m1""]",80,38
"[""claude-sonnet-4-20250514-thinking-32k"", ""mistral-medium-2505""]",113,51
"[""claude-sonnet-4-20250514-thinking-32k"", ""mistral-small-2506""]",43,22
"[""claude-sonnet-4-20250514-thinking-32k"", ""mistral-small-3.1-24b-instruct-2503""]",60,41
"[""claude-sonnet-4-20250514-thinking-32k"", ""o3-2025-04-16""]",124,38
"[""claude-sonnet-4-20250514-thinking-32k"", ""o3-mini""]",74,46
"[""claude-sonnet-4-20250514-thinking-32k"", ""o4-mini-2025-04-16""]",78,32
"[""claude-sonnet-4-20250514-thinking-32k"", ""qwen-max-2025-01-25""]",54,19
"[""claude-sonnet-4-20250514-thinking-32k"", ""qwen3-235b-a22b""]",63,18
"[""claude-sonnet-4-20250514-thinking-32k"", ""qwen3-235b-a22b-instruct-2507""]",5,3
"[""claude-sonnet-4-20250514-thinking-32k"", ""qwen3-235b-a22b-no-thinking""]",134,50
"[""claude-sonnet-4-20250514-thinking-32k"", ""qwen3-30b-a3b""]",72,36
"[""claude-sonnet-4-20250514-thinking-32k"", ""qwq-32b""]",47,21
"[""command-a-03-2025"", ""deepseek-r1-0528""]",102,34
"[""command-a-03-2025"", ""deepseek-v3-0324""]",93,42
"[""command-a-03-2025"", ""gemini-2.0-flash-001""]",48,18
"[""command-a-03-2025"", ""gemini-2.5-flash""]",184,52
"[""command-a-03-2025"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",64,26
"[""command-a-03-2025"", ""gemini-2.5-flash-preview-04-17""]",61,16
"[""command-a-03-2025"", ""gemini-2.5-pro""]",180,35
"[""command-a-03-2025"", ""gemini-2.5-pro-preview-05-06""]",71,17
"[""command-a-03-2025"", ""gemma-3-27b-it""]",76,28
"[""command-a-03-2025"", ""gemma-3n-e4b-it""]",25,7
"[""command-a-03-2025"", ""gpt-4.1-2025-04-14""]",96,45
"[""command-a-03-2025"", ""gpt-4.1-mini-2025-04-14""]",89,43
"[""command-a-03-2025"", ""grok-3-mini-beta""]",86,27
"[""command-a-03-2025"", ""grok-3-mini-high""]",45,18
"[""command-a-03-2025"", ""grok-3-preview-02-24""]",81,21
"[""command-a-03-2025"", ""grok-4-0709""]",22,4
"[""command-a-03-2025"", ""hunyuan-turbos-20250416""]",13,3
"[""command-a-03-2025"", ""kimi-k2-0711-preview""]",39,20
"[""command-a-03-2025"", ""llama-3.3-70b-instruct""]",62,43
"[""command-a-03-2025"", ""llama-4-maverick-03-26-experimental""]",117,33
"[""command-a-03-2025"", ""llama-4-maverick-17b-128e-instruct""]",67,48
"[""command-a-03-2025"", ""llama-4-scout-17b-16e-instruct""]",25,14
"[""command-a-03-2025"", ""magistral-medium-2506""]",33,22
"[""command-a-03-2025"", ""minimax-m1""]",63,29
"[""command-a-03-2025"", ""mistral-medium-2505""]",136,51
"[""command-a-03-2025"", ""mistral-small-2506""]",28,17
"[""command-a-03-2025"", ""mistral-small-3.1-24b-instruct-2503""]",34,22
"[""command-a-03-2025"", ""o3-2025-04-16""]",145,45
"[""command-a-03-2025"", ""o3-mini""]",99,44
"[""command-a-03-2025"", ""o4-mini-2025-04-16""]",106,43
"[""command-a-03-2025"", ""qwen-max-2025-01-25""]",55,21
"[""command-a-03-2025"", ""qwen3-235b-a22b""]",60,19
"[""command-a-03-2025"", ""qwen3-235b-a22b-instruct-2507""]",8,4
"[""command-a-03-2025"", ""qwen3-235b-a22b-no-thinking""]",144,54
"[""command-a-03-2025"", ""qwen3-30b-a3b""]",102,50
"[""command-a-03-2025"", ""qwq-32b""]",61,31
"[""deepseek-r1-0528"", ""deepseek-v3-0324""]",78,53
"[""deepseek-r1-0528"", ""gemini-2.0-flash-001""]",53,36
"[""deepseek-r1-0528"", ""gemini-2.5-flash""]",152,81
"[""deepseek-r1-0528"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",72,48
"[""deepseek-r1-0528"", ""gemini-2.5-flash-preview-04-17""]",59,40
"[""deepseek-r1-0528"", ""gemini-2.5-pro""]",121,47
"[""deepseek-r1-0528"", ""gemini-2.5-pro-preview-05-06""]",67,30
"[""deepseek-r1-0528"", ""gemma-3-27b-it""]",103,67
"[""deepseek-r1-0528"", ""gemma-3n-e4b-it""]",32,29
"[""deepseek-r1-0528"", ""gpt-4.1-2025-04-14""]",103,57
"[""deepseek-r1-0528"", ""gpt-4.1-mini-2025-04-14""]",112,72
"[""deepseek-r1-0528"", ""grok-3-mini-beta""]",85,50
"[""deepseek-r1-0528"", ""grok-3-mini-high""]",22,13
"[""deepseek-r1-0528"", ""grok-3-preview-02-24""]",90,47
"[""deepseek-r1-0528"", ""grok-4-0709""]",14,8
"[""deepseek-r1-0528"", ""hunyuan-turbos-20250416""]",35,25
"[""deepseek-r1-0528"", ""kimi-k2-0711-preview""]",16,7
"[""deepseek-r1-0528"", ""llama-3.3-70b-instruct""]",85,68
"[""deepseek-r1-0528"", ""llama-4-maverick-03-26-experimental""]",89,47
"[""deepseek-r1-0528"", ""llama-4-maverick-17b-128e-instruct""]",61,44
"[""deepseek-r1-0528"", ""llama-4-scout-17b-16e-instruct""]",41,30
"[""deepseek-r1-0528"", ""magistral-medium-2506""]",36,33
"[""deepseek-r1-0528"", ""minimax-m1""]",51,33
"[""deepseek-r1-0528"", ""mistral-medium-2505""]",137,80
"[""deepseek-r1-0528"", ""mistral-small-2506""]",26,18
"[""deepseek-r1-0528"", ""mistral-small-3.1-24b-instruct-2503""]",51,38
"[""deepseek-r1-0528"", ""o3-2025-04-16""]",129,62
"[""deepseek-r1-0528"", ""o3-mini""]",87,66
"[""deepseek-r1-0528"", ""o4-mini-2025-04-16""]",115,77
"[""deepseek-r1-0528"", ""qwen-max-2025-01-25""]",42,28
"[""deepseek-r1-0528"", ""qwen3-235b-a22b""]",88,47
"[""deepseek-r1-0528"", ""qwen3-235b-a22b-instruct-2507""]",6,6
"[""deepseek-r1-0528"", ""qwen3-235b-a22b-no-thinking""]",151,96
"[""deepseek-r1-0528"", ""qwen3-30b-a3b""]",81,50
"[""deepseek-r1-0528"", ""qwq-32b""]",45,28
"[""deepseek-v3-0324"", ""gemini-2.0-flash-001""]",74,47
"[""deepseek-v3-0324"", ""gemini-2.5-flash""]",141,57
"[""deepseek-v3-0324"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",63,32
"[""deepseek-v3-0324"", ""gemini-2.5-flash-preview-04-17""]",82,35
"[""deepseek-v3-0324"", ""gemini-2.5-pro""]",131,36
"[""deepseek-v3-0324"", ""gemini-2.5-pro-preview-03-25""]",23,11
"[""deepseek-v3-0324"", ""gemini-2.5-pro-preview-05-06""]",53,22
"[""deepseek-v3-0324"", ""gemma-3-27b-it""]",108,55
"[""deepseek-v3-0324"", ""gemma-3n-e4b-it""]",34,21
"[""deepseek-v3-0324"", ""gpt-4.1-2025-04-14""]",65,36
"[""deepseek-v3-0324"", ""gpt-4.1-mini-2025-04-14""]",68,46
"[""deepseek-v3-0324"", ""grok-3-mini-beta""]",89,49
"[""deepseek-v3-0324"", ""grok-3-mini-high""]",37,16
"[""deepseek-v3-0324"", ""grok-3-preview-02-24""]",84,40
"[""deepseek-v3-0324"", ""grok-4-0709""]",23,6
"[""deepseek-v3-0324"", ""hunyuan-turbos-20250416""]",5,2
"[""deepseek-v3-0324"", ""kimi-k2-0711-preview""]",32,19
"[""deepseek-v3-0324"", ""llama-3.3-70b-instruct""]",59,41
"[""deepseek-v3-0324"", ""llama-4-maverick-03-26-experimental""]",66,38
"[""deepseek-v3-0324"", ""llama-4-maverick-17b-128e-instruct""]",74,51
"[""deepseek-v3-0324"", ""llama-4-scout-17b-16e-instruct""]",32,22
"[""deepseek-v3-0324"", ""magistral-medium-2506""]",30,20
"[""deepseek-v3-0324"", ""minimax-m1""]",70,37
"[""deepseek-v3-0324"", ""mistral-medium-2505""]",107,61
"[""deepseek-v3-0324"", ""mistral-small-2506""]",29,13
"[""deepseek-v3-0324"", ""mistral-small-3.1-24b-instruct-2503""]",29,24
"[""deepseek-v3-0324"", ""o3-2025-04-16""]",122,43
"[""deepseek-v3-0324"", ""o3-mini""]",78,47
"[""deepseek-v3-0324"", ""o4-mini-2025-04-16""]",71,34
"[""deepseek-v3-0324"", ""qwen-max-2025-01-25""]",52,24
"[""deepseek-v3-0324"", ""qwen3-235b-a22b""]",60,31
"[""deepseek-v3-0324"", ""qwen3-235b-a22b-instruct-2507""]",9,4
"[""deepseek-v3-0324"", ""qwen3-235b-a22b-no-thinking""]",145,64
"[""deepseek-v3-0324"", ""qwen3-30b-a3b""]",63,32
"[""deepseek-v3-0324"", ""qwq-32b""]",49,30
"[""gemini-2.0-flash-001"", ""gemini-2.0-flash-thinking-exp-01-21""]",28,11
"[""gemini-2.0-flash-001"", ""gemini-2.5-flash""]",76,28
"[""gemini-2.0-flash-001"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",43,20
"[""gemini-2.0-flash-001"", ""gemini-2.5-flash-preview-04-17""]",87,36
"[""gemini-2.0-flash-001"", ""gemini-2.5-pro""]",90,17
"[""gemini-2.0-flash-001"", ""gemini-2.5-pro-preview-03-25""]",80,23
"[""gemini-2.0-flash-001"", ""gemini-2.5-pro-preview-05-06""]",37,4
"[""gemini-2.0-flash-001"", ""gemma-3-27b-it""]",105,50
"[""gemini-2.0-flash-001"", ""gemma-3n-e4b-it""]",13,7
"[""gemini-2.0-flash-001"", ""gpt-4.1-2025-04-14""]",119,46
"[""gemini-2.0-flash-001"", ""gpt-4.1-mini-2025-04-14""]",69,35
"[""gemini-2.0-flash-001"", ""gpt-4o-2024-11-20""]",36,16
"[""gemini-2.0-flash-001"", ""gpt-4o-mini-2024-07-18""]",37,31
"[""gemini-2.0-flash-001"", ""grok-3-mini-beta""]",86,43
"[""gemini-2.0-flash-001"", ""grok-3-mini-high""]",34,20
"[""gemini-2.0-flash-001"", ""grok-3-preview-02-24""]",109,31
"[""gemini-2.0-flash-001"", ""grok-4-0709""]",21,6
"[""gemini-2.0-flash-001"", ""hunyuan-turbos-20250416""]",3,0
"[""gemini-2.0-flash-001"", ""kimi-k2-0711-preview""]",21,5
"[""gemini-2.0-flash-001"", ""llama-3.3-70b-instruct""]",94,67
"[""gemini-2.0-flash-001"", ""llama-4-maverick-03-26-experimental""]",63,22
"[""gemini-2.0-flash-001"", ""llama-4-maverick-17b-128e-instruct""]",94,65
"[""gemini-2.0-flash-001"", ""llama-4-scout-17b-16e-instruct""]",16,13
"[""gemini-2.0-flash-001"", ""magistral-medium-2506""]",13,12
"[""gemini-2.0-flash-001"", ""minimax-m1""]",60,24
"[""gemini-2.0-flash-001"", ""mistral-medium-2505""]",87,36
"[""gemini-2.0-flash-001"", ""mistral-small-2506""]",19,11
"[""gemini-2.0-flash-001"", ""mistral-small-3.1-24b-instruct-2503""]",18,7
"[""gemini-2.0-flash-001"", ""o3-2025-04-16""]",149,51
"[""gemini-2.0-flash-001"", ""o3-mini""]",112,65
"[""gemini-2.0-flash-001"", ""o4-mini-2025-04-16""]",103,41
"[""gemini-2.0-flash-001"", ""qwen-max-2025-01-25""]",88,39
"[""gemini-2.0-flash-001"", ""qwen3-235b-a22b""]",54,14
"[""gemini-2.0-flash-001"", ""qwen3-235b-a22b-instruct-2507""]",5,4
"[""gemini-2.0-flash-001"", ""qwen3-235b-a22b-no-thinking""]",82,27
"[""gemini-2.0-flash-001"", ""qwen3-30b-a3b""]",61,41
"[""gemini-2.0-flash-001"", ""qwq-32b""]",80,45
"[""gemini-2.0-flash-thinking-exp-01-21"", ""gemini-2.5-flash-preview-04-17""]",8,5
"[""gemini-2.0-flash-thinking-exp-01-21"", ""gemini-2.5-pro-preview-03-25""]",13,4
"[""gemini-2.0-flash-thinking-exp-01-21"", ""gemma-3-27b-it""]",7,3
"[""gemini-2.0-flash-thinking-exp-01-21"", ""gpt-4.1-2025-04-14""]",13,7
"[""gemini-2.0-flash-thinking-exp-01-21"", ""gpt-4o-2024-11-20""]",16,8
"[""gemini-2.0-flash-thinking-exp-01-21"", ""gpt-4o-mini-2024-07-18""]",12,6
"[""gemini-2.0-flash-thinking-exp-01-21"", ""grok-3-mini-beta""]",6,3
"[""gemini-2.0-flash-thinking-exp-01-21"", ""grok-3-preview-02-24""]",11,2
"[""gemini-2.0-flash-thinking-exp-01-21"", ""llama-3.3-70b-instruct""]",12,12
"[""gemini-2.0-flash-thinking-exp-01-21"", ""llama-4-maverick-17b-128e-instruct""]",11,6
"[""gemini-2.0-flash-thinking-exp-01-21"", ""o3-2025-04-16""]",10,3
"[""gemini-2.0-flash-thinking-exp-01-21"", ""o3-mini""]",15,9
"[""gemini-2.0-flash-thinking-exp-01-21"", ""o4-mini-2025-04-16""]",1,1
"[""gemini-2.0-flash-thinking-exp-01-21"", ""qwen-max-2025-01-25""]",10,7
"[""gemini-2.0-flash-thinking-exp-01-21"", ""qwq-32b""]",6,5
"[""gemini-2.5-flash"", ""gemini-2.5-flash-lite-preview-06-17-thinking""]",92,55
"[""gemini-2.5-flash"", ""gemini-2.5-flash-preview-04-17""]",97,52
"[""gemini-2.5-flash"", ""gemini-2.5-pro""]",163,51
"[""gemini-2.5-flash"", ""gemini-2.5-pro-preview-05-06""]",70,25
"[""gemini-2.5-flash"", ""gemma-3-27b-it""]",152,94
"[""gemini-2.5-flash"", ""gemma-3n-e4b-it""]",69,50
"[""gemini-2.5-flash"", ""gpt-4.1-2025-04-14""]",133,76
"[""gemini-2.5-flash"", ""gpt-4.1-mini-2025-04-14""]",132,96
"[""gemini-2.5-flash"", ""grok-3-mini-beta""]",138,89
"[""gemini-2.5-flash"", ""grok-3-mini-high""]",53,34
"[""gemini-2.5-flash"", ""grok-3-preview-02-24""]",87,45
"[""gemini-2.5-flash"", ""grok-4-0709""]",25,10
"[""gemini-2.5-flash"", ""hunyuan-turbos-20250416""]",38,22
"[""gemini-2.5-flash"", ""kimi-k2-0711-preview""]",43,21
"[""gemini-2.5-flash"", ""llama-3.3-70b-instruct""]",111,91
"[""gemini-2.5-flash"", ""llama-4-maverick-03-26-experimental""]",156,76
"[""gemini-2.5-flash"", ""llama-4-maverick-17b-128e-instruct""]",100,78
"[""gemini-2.5-flash"", ""llama-4-scout-17b-16e-instruct""]",57,41
"[""gemini-2.5-flash"", ""magistral-medium-2506""]",63,53
"[""gemini-2.5-flash"", ""minimax-m1""]",99,63
"[""gemini-2.5-flash"", ""mistral-medium-2505""]",219,131
"[""gemini-2.5-flash"", ""mistral-small-2506""]",50,39
"[""gemini-2.5-flash"", ""mistral-small-3.1-24b-instruct-2503""]",71,54
"[""gemini-2.5-flash"", ""o3-2025-04-16""]",163,75
"[""gemini-2.5-flash"", ""o3-mini""]",127,91
"[""gemini-2.5-flash"", ""o4-mini-2025-04-16""]",121,73
"[""gemini-2.5-flash"", ""qwen-max-2025-01-25""]",93,58
"[""gemini-2.5-flash"", ""qwen3-235b-a22b""]",106,62
"[""gemini-2.5-flash"", ""qwen3-235b-a22b-instruct-2507""]",6,3
"[""gemini-2.5-flash"", ""qwen3-235b-a22b-no-thinking""]",184,98
"[""gemini-2.5-flash"", ""qwen3-30b-a3b""]",117,77
"[""gemini-2.5-flash"", ""qwq-32b""]",76,49
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""gemini-2.5-flash-preview-04-17""]",49,20
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""gemini-2.5-pro""]",93,25
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""gemini-2.5-pro-preview-05-06""]",27,12
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""gemma-3-27b-it""]",79,44
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""gemma-3n-e4b-it""]",34,21
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""gpt-4.1-2025-04-14""]",87,45
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""gpt-4.1-mini-2025-04-14""]",74,50
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""grok-3-mini-beta""]",48,31
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""grok-3-mini-high""]",20,14
"[""gemini-2.5-flash-lite-preview-06-17-thinking"", ""grok-3-preview-02-24""]",70,33
